source,network,op,metric,unit,count,mean,median,p95,p99,min,max
npm,registry.npmjs.org,metadataFetch/lodash,latencyMs,ms,50,32.935688,32.654083,36.383667,38.285167,29.560125,38.285167
npm,registry.npmjs.org,versionFetch/lodash,latencyMs,ms,50,30.424846,24.656916,34.618667,296.606792,20.632042,296.606792
npm,registry.npmjs.org,tarballDownloadAndHash/lodash,latencyMs,ms,50,58.367834,50.557375,57.527958,397.952417,45.860459,397.952417
npm,registry.npmjs.org,metadataFetch/express,latencyMs,ms,50,50.324780,43.812167,124.511791,131.510625,21.383834,131.510625
npm,registry.npmjs.org,versionFetch/express,latencyMs,ms,50,30.492948,24.093083,30.784459,248.065542,20.862334,248.065542
npm,registry.npmjs.org,tarballDownloadAndHash/express,latencyMs,ms,50,29.365888,25.642542,33.769167,116.317125,21.550167,116.317125
npm,registry.npmjs.org,metadataFetch/react,latencyMs,ms,50,77.750397,57.514666,135.010959,250.794750,25.806459,250.794750
npm,registry.npmjs.org,versionFetch/react,latencyMs,ms,50,33.056381,24.031834,33.865500,424.489083,20.371583,424.489083
npm,registry.npmjs.org,tarballDownloadAndHash/react,latencyMs,ms,50,28.348913,26.128583,33.309584,105.053208,22.459584,105.053208
registry-live,base,deploy,gasUsed,gas,1,808630.000000,808630.000000,808630.000000,808630.000000,808630.000000,808630.000000
registry-live,base,deploy,txConfirmMs,ms,1,5340.490500,5340.490500,5340.490500,5340.490500,5340.490500,5340.490500
registry-live,base,deploy,l2ExecutionUsd,USD,1,0.008524,0.008524,0.008524,0.008524,0.008524,0.008524
registry-live,base,deploy,l1DataUsd,USD,1,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137
registry-live,base,deploy,totalUsd,USD,1,0.008661,0.008661,0.008661,0.008661,0.008661,0.008661
registry-live,base,deploy,l2ExecutionFeeWei,wei,1,4851780000000.000000,4851780000000.000000,4851780000000.000000,4851780000000.000000,4851780000000.000000,4851780000000.000000
registry-live,base,deploy,l1DataFeeWei,wei,1,77775794233.000000,77775794233.000000,77775794233.000000,77775794233.000000,77775794233.000000,77775794233.000000
registry-live,base,deploy,totalFeeWei,wei,1,4929555794233.000000,4929555794233.000000,4929555794233.000000,4929555794233.000000,4929555794233.000000,4929555794233.000000
registry-live,base,deploy,serializedTxBytes,bytes,1,3522.000000,3522.000000,3522.000000,3522.000000,3522.000000,3522.000000
registry-live,base,registerPackage,gasUsed,gas,2,46890.000000,46890.000000,46890.000000,46890.000000,46890.000000,46890.000000
registry-live,base,registerPackage,txConfirmMs,ms,2,608.093771,649.146750,649.146750,649.146750,567.040792,649.146750
registry-live,base,registerPackage,l2ExecutionUsd,USD,2,0.000494,0.000494,0.000494,0.000494,0.000494,0.000494
registry-live,base,registerPackage,l1DataUsd,USD,2,0.000019,0.000032,0.000032,0.000032,0.000007,0.000032
registry-live,base,registerPackage,totalUsd,USD,2,0.000514,0.000526,0.000526,0.000526,0.000501,0.000526
registry-live,base,registerPackage,l2ExecutionFeeWei,wei,2,281340000000.000000,281340000000.000000,281340000000.000000,281340000000.000000,281340000000.000000,281340000000.000000
registry-live,base,registerPackage,l1DataFeeWei,wei,2,11026197471.500000,18202113261.000000,18202113261.000000,18202113261.000000,3850281682.000000,18202113261.000000
registry-live,base,registerPackage,totalFeeWei,wei,2,292366197471.500000,299542113261.000000,299542113261.000000,299542113261.000000,285190281682.000000,299542113261.000000
registry-live,base,registerPackage,serializedTxBytes,bytes,2,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
registry-live,base,publishVersion,gasUsed,gas,25,104796.200000,104117.000000,104117.000000,121205.000000,104105.000000,121205.000000
registry-live,base,publishVersion,txConfirmMs,ms,25,2429.379973,1279.061125,5699.244041,5849.814792,502.337208,5849.814792
registry-live,base,publishVersion,l2ExecutionUsd,USD,25,0.001105,0.001098,0.001098,0.001278,0.001097,0.001278
registry-live,base,publishVersion,l1DataUsd,USD,25,0.000009,0.000008,0.000022,0.000030,0.000006,0.000030
registry-live,base,publishVersion,totalUsd,USD,25,0.001114,0.001106,0.001128,0.001287,0.001104,0.001287
registry-live,base,publishVersion,l2ExecutionFeeWei,wei,25,628777200000.000000,624702000000.000000,624702000000.000000,727230000000.000000,624630000000.000000,727230000000.000000
registry-live,base,publishVersion,l1DataFeeWei,wei,25,5287232597.520000,4764713315.000000,12769802175.000000,17103312572.000000,3650529805.000000,17103312572.000000
registry-live,base,publishVersion,totalFeeWei,wei,25,634064432597.520020,629394713315.000000,641805312572.000000,732669912156.000000,628280529805.000000,732669912156.000000
registry-live,base,publishVersion,serializedTxBytes,bytes,25,228.000000,228.000000,228.000000,228.000000,228.000000,228.000000
registry-live,base,revokeVersion,gasUsed,gas,1,52887.000000,52887.000000,52887.000000,52887.000000,52887.000000,52887.000000
registry-live,base,revokeVersion,txConfirmMs,ms,1,5391.253542,5391.253542,5391.253542,5391.253542,5391.253542,5391.253542
registry-live,base,revokeVersion,l2ExecutionUsd,USD,1,0.000558,0.000558,0.000558,0.000558,0.000558,0.000558
registry-live,base,revokeVersion,l1DataUsd,USD,1,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007
registry-live,base,revokeVersion,totalUsd,USD,1,0.000564,0.000564,0.000564,0.000564,0.000564,0.000564
registry-live,base,revokeVersion,l2ExecutionFeeWei,wei,1,317322000000.000000,317322000000.000000,317322000000.000000,317322000000.000000,317322000000.000000,317322000000.000000
registry-live,base,revokeVersion,l1DataFeeWei,wei,1,3766024748.000000,3766024748.000000,3766024748.000000,3766024748.000000,3766024748.000000,3766024748.000000
registry-live,base,revokeVersion,totalFeeWei,wei,1,321088024748.000000,321088024748.000000,321088024748.000000,321088024748.000000,321088024748.000000,321088024748.000000
registry-live,base,revokeVersion,serializedTxBytes,bytes,1,196.000000,196.000000,196.000000,196.000000,196.000000,196.000000
registry-live,base,transferOwnership,gasUsed,gas,1,30978.000000,30978.000000,30978.000000,30978.000000,30978.000000,30978.000000
registry-live,base,transferOwnership,txConfirmMs,ms,1,570.338042,570.338042,570.338042,570.338042,570.338042,570.338042
registry-live,base,transferOwnership,l2ExecutionUsd,USD,1,0.000327,0.000327,0.000327,0.000327,0.000327,0.000327
registry-live,base,transferOwnership,l1DataUsd,USD,1,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006
registry-live,base,transferOwnership,totalUsd,USD,1,0.000332,0.000332,0.000332,0.000332,0.000332,0.000332
registry-live,base,transferOwnership,l2ExecutionFeeWei,wei,1,185868000000.000000,185868000000.000000,185868000000.000000,185868000000.000000,185868000000.000000,185868000000.000000
registry-live,base,transferOwnership,l1DataFeeWei,wei,1,3357518794.000000,3357518794.000000,3357518794.000000,3357518794.000000,3357518794.000000,3357518794.000000
registry-live,base,transferOwnership,totalFeeWei,wei,1,189225518794.000000,189225518794.000000,189225518794.000000,189225518794.000000,189225518794.000000,189225518794.000000
registry-live,base,transferOwnership,serializedTxBytes,bytes,1,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000
registry-live,base,verifyVersion,rpcLatencyMs,ms,25,1660.489392,167.360542,11385.735625,12402.437459,149.398417,12402.437459
registry,base,registerPackage,gasUsed,gas,5,46698.000000,46698.000000,46698.000000,46698.000000,46698.000000,46698.000000
registry,base,registerPackage,txConfirmMs,ms,5,78.054000,79.474750,83.216291,83.216291,67.634083,83.216291
registry,base,registerPackage,l2ExecutionUsd,USD,5,0.000640,0.000640,0.000640,0.000640,0.000640,0.000640
registry,base,registerPackage,l1DataUsd,USD,5,0.000008,0.000008,0.000008,0.000008,0.000007,0.000008
registry,base,registerPackage,totalUsd,USD,5,0.000647,0.000647,0.000647,0.000647,0.000647,0.000647
registry,base,registerPackage,l2ExecutionFeeWei,wei,5,280188000000.000000,280188000000.000000,280188000000.000000,280188000000.000000,280188000000.000000,280188000000.000000
registry,base,registerPackage,l1DataFeeWei,wei,5,3319906308.400000,3331960144.000000,3372566388.000000,3372566388.000000,3261219311.000000,3372566388.000000
registry,base,registerPackage,totalFeeWei,wei,5,283507906308.400024,283519960144.000000,283560566388.000000,283560566388.000000,283449219311.000000,283560566388.000000
registry,base,registerPackage,serializedTxBytes,bytes,5,207.000000,207.000000,207.000000,207.000000,207.000000,207.000000
registry,scroll,registerPackage,gasUsed,gas,5,46698.000000,46698.000000,46698.000000,46698.000000,46698.000000,46698.000000
registry,scroll,registerPackage,txConfirmMs,ms,5,78.054000,79.474750,83.216291,83.216291,67.634083,83.216291
registry,scroll,registerPackage,l2ExecutionUsd,USD,5,0.000013,0.000013,0.000013,0.000013,0.000013,0.000013
registry,scroll,registerPackage,l1DataUsd,USD,5,0.005094,0.005094,0.005094,0.005094,0.005094,0.005094
registry,scroll,registerPackage,totalUsd,USD,5,0.005107,0.005107,0.005107,0.005107,0.005107,0.005107
registry,scroll,registerPackage,l2ExecutionFeeWei,wei,5,5608803384.000000,5608803384.000000,5608803384.000000,5608803384.000000,5608803384.000000,5608803384.000000
registry,scroll,registerPackage,l1DataFeeWei,wei,5,2231724510158.000000,2231724510158.000000,2231724510158.000000,2231724510158.000000,2231724510158.000000,2231724510158.000000
registry,scroll,registerPackage,totalFeeWei,wei,5,2237333313542.000000,2237333313542.000000,2237333313542.000000,2237333313542.000000,2237333313542.000000,2237333313542.000000
registry,scroll,registerPackage,serializedTxBytes,bytes,5,208.000000,208.000000,208.000000,208.000000,208.000000,208.000000
registry,arbitrum,registerPackage,gasUsed,gas,5,46698.000000,46698.000000,46698.000000,46698.000000,46698.000000,46698.000000
registry,arbitrum,registerPackage,txConfirmMs,ms,5,78.054000,79.474750,83.216291,83.216291,67.634083,83.216291
registry,arbitrum,registerPackage,l2ExecutionUsd,USD,5,0.002137,0.002134,0.002144,0.002144,0.002132,0.002144
registry,arbitrum,registerPackage,l1DataUsd,USD,5,0.000047,0.000047,0.000047,0.000047,0.000047,0.000047
registry,arbitrum,registerPackage,totalUsd,USD,5,0.002184,0.002181,0.002191,0.002191,0.002179,0.002191
registry,arbitrum,registerPackage,l2ExecutionFeeWei,wei,5,936070749600.000000,934893960000.000000,939376968000.000000,939376968000.000000,933960000000.000000,939376968000.000000
registry,arbitrum,registerPackage,l1DataFeeWei,wei,5,20574507200.000000,20574918000.000000,20615998000.000000,20615998000.000000,20540000000.000000,20615998000.000000
registry,arbitrum,registerPackage,totalFeeWei,wei,5,956645256800.000000,955481202000.000000,959951886000.000000,959951886000.000000,954500000000.000000,959951886000.000000
registry,arbitrum,registerPackage,serializedTxBytes,bytes,5,208.000000,208.000000,208.000000,208.000000,208.000000,208.000000
registry,base,publishVersion,gasUsed,gas,5,121010.600000,121013.000000,121013.000000,121013.000000,121001.000000,121013.000000
registry,base,publishVersion,txConfirmMs,ms,5,82.492400,81.546083,89.467917,89.467917,78.895708,89.467917
registry,base,publishVersion,l2ExecutionUsd,USD,5,0.001657,0.001657,0.001657,0.001657,0.001657,0.001657
registry,base,publishVersion,l1DataUsd,USD,5,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010
registry,base,publishVersion,totalUsd,USD,5,0.001667,0.001667,0.001668,0.001668,0.001667,0.001668
registry,base,publishVersion,l2ExecutionFeeWei,wei,5,726063600000.000000,726078000000.000000,726078000000.000000,726078000000.000000,726006000000.000000,726078000000.000000
registry,base,publishVersion,l1DataFeeWei,wei,5,4357048294.800000,4298345320.000000,4445102757.000000,4445102757.000000,4298345320.000000,4445102757.000000
registry,base,publishVersion,totalFeeWei,wei,5,730420648294.800049,730376345320.000000,730523102757.000000,730523102757.000000,730376345320.000000,730523102757.000000
registry,base,publishVersion,serializedTxBytes,bytes,5,337.000000,337.000000,337.000000,337.000000,337.000000,337.000000
registry,scroll,publishVersion,gasUsed,gas,5,121010.600000,121013.000000,121013.000000,121013.000000,121001.000000,121013.000000
registry,scroll,publishVersion,txConfirmMs,ms,5,82.492400,81.546083,89.467917,89.467917,78.895708,89.467917
registry,scroll,publishVersion,l2ExecutionUsd,USD,5,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033
registry,scroll,publishVersion,l1DataUsd,USD,5,0.008384,0.008384,0.008384,0.008384,0.008384,0.008384
registry,scroll,publishVersion,totalUsd,USD,5,0.008417,0.008417,0.008417,0.008417,0.008417,0.008417
registry,scroll,publishVersion,l2ExecutionFeeWei,wei,5,14534341144.799999,14534629404.000000,14534629404.000000,14534629404.000000,14533188108.000000,14534629404.000000
registry,scroll,publishVersion,l1DataFeeWei,wei,5,3672736870814.000000,3672736870814.000000,3672736870814.000000,3672736870814.000000,3672736870814.000000,3672736870814.000000
registry,scroll,publishVersion,totalFeeWei,wei,5,3687271211958.799805,3687271500218.000000,3687271500218.000000,3687271500218.000000,3687270058922.000000,3687271500218.000000
registry,scroll,publishVersion,serializedTxBytes,bytes,5,338.000000,338.000000,338.000000,338.000000,338.000000,338.000000
registry,arbitrum,publishVersion,gasUsed,gas,5,121010.600000,121013.000000,121013.000000,121013.000000,121001.000000,121013.000000
registry,arbitrum,publishVersion,txConfirmMs,ms,5,82.492400,81.546083,89.467917,89.467917,78.895708,89.467917
registry,arbitrum,publishVersion,l2ExecutionUsd,USD,5,0.005529,0.005525,0.005538,0.005538,0.005525,0.005538
registry,arbitrum,publishVersion,l1DataUsd,USD,5,0.000064,0.000064,0.000065,0.000065,0.000063,0.000065
registry,arbitrum,publishVersion,totalUsd,USD,5,0.005593,0.005590,0.005602,0.005602,0.005588,0.005602
registry,arbitrum,publishVersion,l2ExecutionFeeWei,wei,5,2422196488400.000000,2420260000000.000000,2426312052000.000000,2426312052000.000000,2420260000000.000000,2426312052000.000000
registry,arbitrum,publishVersion,l1DataFeeWei,wei,5,28153636800.000000,28240000000.000000,28631444000.000000,28631444000.000000,27740000000.000000,28631444000.000000
